,Date,Winner,Method,Referee,N_rounds,W_round,W_round_time,R_fighter,B_fighter,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land
4446,2014-04-26,Anthony Johnson,Decision - Unanimous,Herb Dean,3,3,0 days 00:05:00,Phil Davis,Anthony Johnson,0,0,0,0,0,0,0 days 00:00:32,0 days 00:00:15,133,27,134,47,8,0,1,0,127,21,132,45,95,9,113,31,24,6,11,6,8,6,8,8,121,16,121,39,4,3,6,3,2,2,5,3
4447,2014-04-26,Luke Rockhold,Submission,Mario Yamasaki,3,1,0 days 00:02:08,Luke Rockhold,Tim Boetsch,0,0,2,0,0,0,0 days 00:01:35,0 days 00:00:04,9,9,2,1,0,0,1,0,4,4,2,1,0,0,0,0,4,4,1,0,0,0,1,1,1,1,2,1,0,0,0,0,3,3,0,0
4448,2014-04-26,Jim Miller,Submission,Mario Yamasaki,3,1,0 days 00:03:18,Jim Miller,Yancy Medeiros,0,0,1,0,0,0,0 days 00:00:29,0 days 00:00:24,20,6,27,9,1,0,0,0,19,5,27,9,14,2,19,7,2,1,7,2,3,2,1,0,17,4,26,8,2,1,1,1,0,0,0,0
4449,2014-04-26,Max Holloway,Submission,Kevin Mulhall,3,3,0 days 00:03:39,Max Holloway,Andre Fili,0,0,2,0,0,0,0 days 00:00:00,0 days 00:03:12,161,57,141,46,0,0,12,3,149,47,139,44,122,31,99,18,24,15,21,9,3,1,19,17,121,30,129,40,28,17,10,4,0,0,0,0
4450,2014-04-26,Joseph Benavidez,Submission,Mario Yamasaki,3,1,0 days 00:04:08,Joseph Benavidez,Tim Elliott,0,0,1,0,1,0,0 days 00:01:33,0 days 00:01:16,28,14,35,27,0,0,3,3,23,9,21,16,16,4,15,10,6,4,3,3,1,1,3,3,22,9,17,13,1,0,4,3,0,0,0,0
4451,2014-04-26,Takanori Gomi,Decision - Unanimous,Herb Dean,3,3,0 days 00:05:00,Takanori Gomi,Isaac Vallie-Flagg,0,0,0,0,1,0,0 days 00:03:52,0 days 00:01:11,263,153,322,211,0,0,2,1,240,130,217,107,185,88,161,61,45,34,39,31,10,8,17,15,229,119,204,96,11,11,10,8,0,0,3,3
4452,2014-04-26,Bethe Correia,Decision - Unanimous,Kevin Mulhall,3,3,0 days 00:05:00,Jessamyn Duke,Bethe Correia,0,0,0,0,0,2,0 days 00:00:12,0 days 00:03:29,148,70,216,118,6,1,0,0,130,54,186,91,108,36,128,50,20,16,25,14,2,2,33,27,116,43,182,88,14,11,4,3,0,0,0,0
4453,2014-04-26,Danny Castillo,KO/TKO,Dan Miragliotta,3,2,0 days 00:00:21,Danny Castillo,Charlie Brenneman,1,0,0,0,1,0,0 days 00:00:58,0 days 00:02:10,25,20,44,35,3,0,4,2,21,16,21,13,6,3,11,3,4,3,8,8,11,10,2,2,13,8,12,5,8,8,2,1,0,0,7,7
4454,2014-04-26,Chris Beal,KO/TKO,Herb Dean,3,2,0 days 00:01:51,Chris Beal,Patrick Williams,1,0,0,0,0,0,0 days 00:00:04,0 days 00:00:36,50,19,37,15,0,0,3,2,49,19,35,14,45,16,20,6,3,2,6,2,1,1,9,6,30,8,28,11,19,11,6,3,0,0,1,0
4455,2014-04-19,Fabricio Werdum,Decision - Unanimous,John McCarthy,5,5,0 days 00:05:00,Fabricio Werdum,Travis Browne,0,0,0,0,0,0,0 days 00:05:04,0 days 00:00:48,251,171,173,77,6,2,1,0,196,121,156,60,154,82,124,36,24,21,22,17,18,18,10,7,186,113,143,48,8,6,4,3,2,2,9,9
